id,page_id,data_type_code
1399,14802,PDF
1407,14883,DOC
1426,15345,PDF
1451,15376,DOC
1455,15385,PDF
1473,15716,DOC
1484,15686,PDF
1511,15726,PDF
1514,15678,DOC
1533,15447,PDF
1559,16022,DOC
1590,16084,DOC
1601,16102,DOC
1660,15463,PDF
1653,15432,PDF
1704,16007,DOC
1705,15720,DOC
1624,15436,PDF
1733,15817,PDF
1738,15817,PDF
1774,16024,DOC
1777,16032,PDF
1785,15769,PDF
1832,15919,DOC
1823,15755,PDF
1859,15584,DOC
1866,15576,PDF
1896,15649,DOC
1908,15670,DOC
1916,16215,DOC
1934,16273,DOC
1954,3955,PDF
1980,3994,PDF
2000,3939,PDF
2015,5783,DOC
2037,3947,PDF
2053,6654,PDF
2077,2843,DOC
2116,3631,PDF
2121,4124,PDF
2130,3394,DOC
2132,3401,DOC
2148,4113,PDF
2153,18411,PDF
2164,18417,PDF
2186,18432,PDF
2197,3794,PDF
2207,18460,PDF
2228,18474,PDF
2235,18510,PDF
2263,18452,PDF
2283,18458,PDF
2303,18760,DOC
2331,18546,PDF
2308,18536,PDF
2364,18491,PDF
2313,18524,PDF
2368,18499,PDF
2373,18508,PDF
2375,18508,PDF
2370,18500,PDF
2403,2613,PDF
2417,2766,PDF
2432,18898,PDF
2464,18907,PDF
2463,18918,PDF
2485,19303,PDF
2498,2801,DOC
2518,3409,DOC
2524,3410,DOC
2546,3823,PPT
2556,2471,PDF
2559,5836,DOC
2573,3639,PDF
2602,20348,PDF
2617,20378,PDF
2631,20427,PDF
2635,20448,PDF
2647,20437,PDF
2738,20542,DOC
2744,20549,PDF
2749,20554,DOC
2787,20553,PDF
2790,20559,PDF
2798,20566,PDF
2833,20620,PDF
433,574,PDF
454,2018,DOC
475,7730,DOC
485,7698,PDF
503,7318,PDF
495,7196,DOC
540,7139,DOC
550,7154,DOC
552,7162,DOC
570,7888,PDF
580,3451,DOC
598,3909,DOC
600,3238,PDF
646,9167,PDF
666,9156,DOC
674,9186,DOC
682,9579,PDF
699,9574,PDF
701,9617,PDF
744,9647,PDF
779,9652,PDF
783,9503,PDF
790,9509,PDF
796,9513,PDF
813,9534,PDF
821,9541,PDF
850,9719,PDF
887,9708,PDF
916,9410,PDF
936,9705,PDF
950,10673,PDF
964,1489,PDF
987,1494,PDF
1008,10943,DOC
1011,10940,DOC
1039,10958,PDF
1047,10953,DOC
1050,10962,DOC
1060,10974,DOC
1074,11052,DOC
1096,1246,PDF
1109,1517,PDF
1147,12560,PDF
1159,12587,PDF
1165,12721,DOC
1184,13840,PDF
1233,14545,PDF
1242,14580,PDF
1252,14593,DOC
1293,14584,PDF
1304,14621,PDF
1327,14615,PDF
1347,14660,PDF
1375,14648,DOC
1378,3941,PDF
